,model_path,seed
132,results/models/policy_gradient__2020-11-25_23-19-21,264.0
133,results/models/policy_gradient__2020-11-26_01-05-27,296.0
134,results/models/policy_gradient__2020-11-26_12-14-07,328.0
135,results/models/policy_gradient__2020-11-26_14-19-15,360.0
136,results/models/policy_gradient__2020-11-26_17-31-02,392.0
137,results/models/policy_gradient__2020-11-26_20-03-25,424.0
138,results/models/policy_gradient__2020-11-26_21-42-03,456.0
139,results/models/policy_gradient__2020-11-26_23-21-52,488.0
140,results/models/policy_gradient__2020-11-25_19-25-24,200.0
141,results/models/policy_gradient__2020-11-25_21-22-46,232.0
142,results/models/policy_gradient__2020-11-25_23-19-21,264.0
143,results/models/policy_gradient__2020-11-26_01-05-27,296.0
144,results/models/policy_gradient__2020-11-26_12-14-07,328.0
145,results/models/policy_gradient__2020-11-26_14-19-15,360.0
146,results/models/policy_gradient__2020-11-26_17-31-02,392.0
147,results/models/policy_gradient__2020-11-26_20-03-25,424.0
148,results/models/policy_gradient__2020-11-26_21-42-03,456.0
149,results/models/policy_gradient__2020-11-26_23-21-52,488.0
150,results/models/policy_gradient__2020-11-25_19-25-24,200.0
151,results/models/policy_gradient__2020-11-25_21-22-46,232.0
152,results/models/policy_gradient__2020-11-25_23-19-21,264.0
153,results/models/policy_gradient__2020-11-26_01-05-27,296.0
154,results/models/policy_gradient__2020-11-26_12-14-07,328.0
155,results/models/policy_gradient__2020-11-26_14-19-15,360.0
156,results/models/policy_gradient__2020-11-26_17-31-02,392.0
157,results/models/policy_gradient__2020-11-26_20-03-25,424.0
158,results/models/policy_gradient__2020-11-26_21-42-03,456.0
159,results/models/policy_gradient__2020-11-26_23-21-52,488.0
160,results/models/policy_gradient__2020-11-25_19-25-24,200.0
161,results/models/policy_gradient__2020-11-25_21-22-46,232.0
162,results/models/policy_gradient__2020-11-25_23-19-21,264.0
163,results/models/policy_gradient__2020-11-26_01-05-27,296.0
164,results/models/policy_gradient__2020-11-26_12-14-07,328.0
165,results/models/policy_gradient__2020-11-26_14-19-15,360.0
166,results/models/policy_gradient__2020-11-26_17-31-02,392.0
167,results/models/policy_gradient__2020-11-26_20-03-25,424.0
168,results/models/policy_gradient__2020-11-26_21-42-03,456.0
169,results/models/policy_gradient__2020-11-26_23-21-52,488.0
170,results/models/policy_gradient__2020-11-25_19-25-24,200.0
171,results/models/policy_gradient__2020-11-25_21-22-46,232.0
172,results/models/policy_gradient__2020-11-25_23-19-21,264.0
173,results/models/policy_gradient__2020-11-26_01-05-27,296.0
174,results/models/policy_gradient__2020-11-26_12-14-07,328.0
175,results/models/policy_gradient__2020-11-26_14-19-15,360.0
176,results/models/policy_gradient__2020-11-26_17-31-02,392.0
177,results/models/policy_gradient__2020-11-26_20-03-25,424.0
178,results/models/policy_gradient__2020-11-26_21-42-03,456.0
179,results/models/policy_gradient__2020-11-26_23-21-52,488.0
180,results/models/policy_gradient__2020-11-25_19-25-24,200.0
181,results/models/policy_gradient__2020-11-25_21-22-46,232.0
182,results/models/policy_gradient__2020-11-25_23-19-21,264.0
183,results/models/policy_gradient__2020-11-26_01-05-27,296.0
184,results/models/policy_gradient__2020-11-26_12-14-07,328.0
185,results/models/policy_gradient__2020-11-26_14-19-15,360.0
186,results/models/policy_gradient__2020-11-26_17-31-02,392.0
187,results/models/policy_gradient__2020-11-26_20-03-25,424.0
188,results/models/policy_gradient__2020-11-26_21-42-03,456.0
189,results/models/policy_gradient__2020-11-26_23-21-52,488.0
190,results/models/policy_gradient__2020-11-25_19-25-24,200.0
191,results/models/policy_gradient__2020-11-25_21-22-46,232.0
192,results/models/policy_gradient__2020-11-25_23-19-21,264.0
193,results/models/policy_gradient__2020-11-26_01-05-27,296.0
194,results/models/policy_gradient__2020-11-26_12-14-07,328.0
195,results/models/policy_gradient__2020-11-26_14-19-15,360.0
196,results/models/policy_gradient__2020-11-26_17-31-02,392.0
197,results/models/policy_gradient__2020-11-26_20-03-25,424.0
198,results/models/policy_gradient__2020-11-26_21-42-03,456.0
199,results/models/policy_gradient__2020-11-26_23-21-52,488.0
200,results/models/policy_gradient__2020-11-25_19-29-05,201.0
201,results/models/policy_gradient__2020-11-25_21-22-46,232.0
202,results/models/policy_gradient__2020-11-25_23-23-37,265.0
203,results/models/policy_gradient__2020-11-26_01-08-34,297.0
204,results/models/policy_gradient__2020-11-26_12-14-07,328.0
205,results/models/policy_gradient__2020-11-26_14-19-15,360.0
206,results/models/policy_gradient__2020-11-26_17-35-50,393.0
207,results/models/policy_gradient__2020-11-26_20-06-27,425.0
208,results/models/policy_gradient__2020-11-26_21-45-04,457.0
209,results/models/policy_gradient__2020-11-26_23-21-52,488.0
210,results/models/policy_gradient__2020-11-25_19-25-24,200.0
211,results/models/policy_gradient__2020-11-25_21-26-39,233.0
212,results/models/policy_gradient__2020-11-25_23-19-21,264.0
213,results/models/policy_gradient__2020-11-26_01-05-27,296.0
214,results/models/policy_gradient__2020-11-26_12-14-07,328.0
215,results/models/policy_gradient__2020-11-26_14-22-30,361.0
216,results/models/policy_gradient__2020-11-26_17-35-50,393.0
217,results/models/policy_gradient__2020-11-26_20-03-25,424.0
218,results/models/policy_gradient__2020-11-26_21-45-04,457.0
219,results/models/policy_gradient__2020-11-26_23-25-15,489.0
220,results/models/policy_gradient__2020-11-25_19-25-24,200.0
221,results/models/policy_gradient__2020-11-25_21-26-39,233.0
222,results/models/policy_gradient__2020-11-25_23-19-21,264.0
223,results/models/policy_gradient__2020-11-26_01-05-27,296.0
224,results/models/policy_gradient__2020-11-26_12-14-07,328.0
225,results/models/policy_gradient__2020-11-26_14-22-30,361.0
226,results/models/policy_gradient__2020-11-26_17-35-50,393.0
227,results/models/policy_gradient__2020-11-26_20-03-25,424.0
228,results/models/policy_gradient__2020-11-26_21-45-04,457.0
229,results/models/policy_gradient__2020-11-26_23-25-15,489.0
230,results/models/policy_gradient__2020-11-25_19-25-24,200.0
231,results/models/policy_gradient__2020-11-25_21-22-46,232.0
232,results/models/policy_gradient__2020-11-25_23-19-21,264.0
233,results/models/policy_gradient__2020-11-26_01-08-34,297.0
234,results/models/policy_gradient__2020-11-26_12-18-09,329.0
235,results/models/policy_gradient__2020-11-26_14-19-15,360.0
236,results/models/policy_gradient__2020-11-26_17-31-02,392.0
237,results/models/policy_gradient__2020-11-26_20-06-27,425.0
238,results/models/policy_gradient__2020-11-26_21-42-03,456.0
239,results/models/policy_gradient__2020-11-26_23-25-15,489.0
240,results/models/policy_gradient__2020-11-25_19-29-05,201.0
241,results/models/policy_gradient__2020-11-25_21-22-46,232.0
242,results/models/policy_gradient__2020-11-25_23-23-37,265.0
243,results/models/policy_gradient__2020-11-26_01-08-34,297.0
244,results/models/policy_gradient__2020-11-26_12-14-07,328.0
245,results/models/policy_gradient__2020-11-26_14-19-15,360.0
246,results/models/policy_gradient__2020-11-26_17-35-50,393.0
247,results/models/policy_gradient__2020-11-26_20-06-27,425.0
248,results/models/policy_gradient__2020-11-26_21-45-04,457.0
249,results/models/policy_gradient__2020-11-26_23-21-52,488.0
250,results/models/policy_gradient__2020-11-25_19-29-05,201.0
251,results/models/policy_gradient__2020-11-25_21-22-46,232.0
252,results/models/policy_gradient__2020-11-25_23-23-37,265.0
253,results/models/policy_gradient__2020-11-26_01-08-34,297.0
254,results/models/policy_gradient__2020-11-26_12-18-09,329.0
255,results/models/policy_gradient__2020-11-26_14-19-15,360.0
256,results/models/policy_gradient__2020-11-26_17-31-02,392.0
257,results/models/policy_gradient__2020-11-26_20-06-27,425.0
258,results/models/policy_gradient__2020-11-26_21-42-03,456.0
259,results/models/policy_gradient__2020-11-26_23-21-52,488.0
260,results/models/policy_gradient__2020-11-25_19-29-05,201.0
261,results/models/policy_gradient__2020-11-25_21-22-46,232.0
262,results/models/policy_gradient__2020-11-25_23-23-37,265.0
263,results/models/policy_gradient__2020-11-26_01-08-34,297.0
264,results/models/policy_gradient__2020-11-26_12-14-07,328.0
265,results/models/policy_gradient__2020-11-26_14-19-15,360.0
266,results/models/policy_gradient__2020-11-26_17-35-50,393.0
267,results/models/policy_gradient__2020-11-26_20-06-27,425.0
268,results/models/policy_gradient__2020-11-26_21-42-03,456.0
269,results/models/policy_gradient__2020-11-26_23-21-52,488.0
270,results/models/policy_gradient__2020-11-25_19-25-24,200.0
271,results/models/policy_gradient__2020-11-25_21-22-46,232.0
272,results/models/policy_gradient__2020-11-25_23-19-21,264.0
273,results/models/policy_gradient__2020-11-26_01-05-27,296.0
274,results/models/policy_gradient__2020-11-26_12-18-09,329.0
275,results/models/policy_gradient__2020-11-26_14-22-30,361.0
276,results/models/policy_gradient__2020-11-26_17-31-02,392.0
277,results/models/policy_gradient__2020-11-26_20-06-27,425.0
278,results/models/policy_gradient__2020-11-26_21-42-03,456.0
279,results/models/policy_gradient__2020-11-26_23-25-15,489.0
280,results/models/policy_gradient__2020-11-25_19-25-24,200.0
281,results/models/policy_gradient__2020-11-25_21-26-39,233.0
282,results/models/policy_gradient__2020-11-25_23-19-21,264.0
283,results/models/policy_gradient__2020-11-26_01-05-27,296.0
284,results/models/policy_gradient__2020-11-26_12-14-07,328.0
285,results/models/policy_gradient__2020-11-26_14-22-30,361.0
286,results/models/policy_gradient__2020-11-26_17-35-50,393.0
287,results/models/policy_gradient__2020-11-26_20-03-25,424.0
288,results/models/policy_gradient__2020-11-26_21-45-04,457.0
289,results/models/policy_gradient__2020-11-26_23-25-15,489.0
290,results/models/policy_gradient__2020-11-25_19-25-24,200.0
291,results/models/policy_gradient__2020-11-25_21-22-46,232.0
292,results/models/policy_gradient__2020-11-25_23-19-21,264.0
293,results/models/policy_gradient__2020-11-26_01-08-34,297.0
294,results/models/policy_gradient__2020-11-26_12-18-09,329.0
295,results/models/policy_gradient__2020-11-26_14-19-15,360.0
296,results/models/policy_gradient__2020-11-26_17-31-02,392.0
297,results/models/policy_gradient__2020-11-26_20-06-27,425.0
298,results/models/policy_gradient__2020-11-26_21-42-03,456.0
299,results/models/policy_gradient__2020-11-26_23-21-52,488.0
300,results/models/policy_gradient__2020-11-25_19-29-05,201.0
301,results/models/policy_gradient__2020-11-25_21-22-46,232.0
302,results/models/policy_gradient__2020-11-25_23-23-37,265.0
303,results/models/policy_gradient__2020-11-26_01-08-34,297.0
304,results/models/policy_gradient__2020-11-26_12-18-09,329.0
305,results/models/policy_gradient__2020-11-26_14-19-15,360.0
306,results/models/policy_gradient__2020-11-26_17-31-02,392.0
307,results/models/policy_gradient__2020-11-26_20-06-27,425.0
308,results/models/policy_gradient__2020-11-26_21-45-04,457.0
309,results/models/policy_gradient__2020-11-26_23-21-52,488.0
310,results/models/policy_gradient__2020-11-25_19-29-05,201.0
311,results/models/policy_gradient__2020-11-25_21-26-39,233.0
312,results/models/policy_gradient__2020-11-25_23-19-21,264.0
313,results/models/policy_gradient__2020-11-26_01-05-27,296.0
314,results/models/policy_gradient__2020-11-26_12-14-07,328.0
315,results/models/policy_gradient__2020-11-26_14-22-30,361.0
316,results/models/policy_gradient__2020-11-26_17-35-50,393.0
317,results/models/policy_gradient__2020-11-26_20-03-25,424.0
318,results/models/policy_gradient__2020-11-26_21-45-04,457.0
319,results/models/policy_gradient__2020-11-26_23-25-15,489.0
320,results/models/policy_gradient__2020-11-25_19-25-24,200.0
321,results/models/policy_gradient__2020-11-25_21-26-39,233.0
322,results/models/policy_gradient__2020-11-25_23-19-21,264.0
323,results/models/policy_gradient__2020-11-26_01-05-27,296.0
324,results/models/policy_gradient__2020-11-26_12-14-07,328.0
325,results/models/policy_gradient__2020-11-26_14-22-30,361.0
326,results/models/policy_gradient__2020-11-26_17-35-50,393.0
327,results/models/policy_gradient__2020-11-26_20-03-25,424.0
328,results/models/policy_gradient__2020-11-26_21-42-03,456.0
329,results/models/policy_gradient__2020-11-26_23-25-15,489.0
330,results/models/policy_gradient__2020-11-25_19-25-24,200.0
331,results/models/policy_gradient__2020-11-25_21-26-39,233.0
332,results/models/policy_gradient__2020-11-25_23-19-21,264.0
333,results/models/policy_gradient__2020-11-26_01-05-27,296.0
334,results/models/policy_gradient__2020-11-26_12-14-07,328.0
335,results/models/policy_gradient__2020-11-26_14-22-30,361.0
336,results/models/policy_gradient__2020-11-26_17-35-50,393.0
337,results/models/policy_gradient__2020-11-26_20-03-25,424.0
338,results/models/policy_gradient__2020-11-26_21-45-04,457.0
339,results/models/policy_gradient__2020-11-26_23-25-15,489.0
340,results/models/policy_gradient__2020-11-25_19-29-05,201.0
341,results/models/policy_gradient__2020-11-25_21-26-39,233.0
342,results/models/policy_gradient__2020-11-25_23-23-37,265.0
343,results/models/policy_gradient__2020-11-26_01-05-27,296.0
344,results/models/policy_gradient__2020-11-26_12-14-07,328.0
345,results/models/policy_gradient__2020-11-26_14-22-30,361.0
346,results/models/policy_gradient__2020-11-26_17-35-50,393.0
347,results/models/policy_gradient__2020-11-26_20-03-25,424.0
348,results/models/policy_gradient__2020-11-26_21-45-04,457.0
349,results/models/policy_gradient__2020-11-26_23-25-15,489.0
350,results/models/policy_gradient__2020-11-25_19-29-05,201.0
351,results/models/policy_gradient__2020-11-25_21-22-46,232.0
352,results/models/policy_gradient__2020-11-25_23-23-37,265.0
353,results/models/policy_gradient__2020-11-26_01-08-34,297.0
354,results/models/policy_gradient__2020-11-26_12-14-07,328.0
355,results/models/policy_gradient__2020-11-26_14-19-15,360.0
356,results/models/policy_gradient__2020-11-26_17-35-50,393.0
357,results/models/policy_gradient__2020-11-26_20-06-27,425.0
358,results/models/policy_gradient__2020-11-26_21-45-04,457.0
359,results/models/policy_gradient__2020-11-26_23-21-52,488.0
360,results/models/policy_gradient__2020-11-25_19-25-24,200.0
361,results/models/policy_gradient__2020-11-25_21-26-39,233.0
362,results/models/policy_gradient__2020-11-25_23-19-21,264.0
363,results/models/policy_gradient__2020-11-26_01-05-27,296.0
364,results/models/policy_gradient__2020-11-26_12-14-07,328.0
365,results/models/policy_gradient__2020-11-26_14-22-30,361.0
366,results/models/policy_gradient__2020-11-26_17-35-50,393.0
367,results/models/policy_gradient__2020-11-26_20-03-25,424.0
368,results/models/policy_gradient__2020-11-26_21-45-04,457.0
369,results/models/policy_gradient__2020-11-26_23-25-15,489.0
370,results/models/policy_gradient__2020-11-25_19-29-05,201.0
371,results/models/policy_gradient__2020-11-25_21-22-46,232.0
372,results/models/policy_gradient__2020-11-25_23-23-37,265.0
373,results/models/policy_gradient__2020-11-26_01-08-34,297.0
374,results/models/policy_gradient__2020-11-26_12-18-09,329.0
375,results/models/policy_gradient__2020-11-26_14-19-15,360.0
376,results/models/policy_gradient__2020-11-26_17-31-02,392.0
377,results/models/policy_gradient__2020-11-26_20-06-27,425.0
378,results/models/policy_gradient__2020-11-26_21-45-04,457.0
379,results/models/policy_gradient__2020-11-26_23-21-52,488.0
380,results/models/policy_gradient__2020-11-25_19-29-05,201.0
381,results/models/policy_gradient__2020-11-25_21-22-46,232.0
382,results/models/policy_gradient__2020-11-25_23-23-37,265.0
383,results/models/policy_gradient__2020-11-26_01-08-34,297.0
384,results/models/policy_gradient__2020-11-26_12-18-09,329.0
385,results/models/policy_gradient__2020-11-26_14-19-15,360.0
386,results/models/policy_gradient__2020-11-26_17-31-02,392.0
387,results/models/policy_gradient__2020-11-26_20-06-27,425.0
388,results/models/policy_gradient__2020-11-26_21-42-03,456.0
389,results/models/policy_gradient__2020-11-26_23-21-52,488.0
390,results/models/policy_gradient__2020-11-25_19-29-05,201.0
391,results/models/policy_gradient__2020-11-25_21-22-46,232.0
392,results/models/policy_gradient__2020-11-25_23-23-37,265.0
393,results/models/policy_gradient__2020-11-26_01-08-34,297.0
394,results/models/policy_gradient__2020-11-26_12-18-09,329.0
395,results/models/policy_gradient__2020-11-26_14-19-15,360.0
396,results/models/policy_gradient__2020-11-26_17-31-02,392.0
397,results/models/policy_gradient__2020-11-26_20-06-27,425.0
398,results/models/policy_gradient__2020-11-26_21-42-03,456.0
399,results/models/policy_gradient__2020-11-26_23-21-52,488.0
400,results/models/policy_gradient__2020-11-25_19-29-05,201.0
401,results/models/policy_gradient__2020-11-25_21-29-44,234.0
402,results/models/policy_gradient__2020-11-25_23-23-37,265.0
403,results/models/policy_gradient__2020-11-26_01-11-36,298.0
404,results/models/policy_gradient__2020-11-26_12-22-41,330.0
405,results/models/policy_gradient__2020-11-26_14-25-34,362.0
406,results/models/policy_gradient__2020-11-26_17-35-50,393.0
407,results/models/policy_gradient__2020-11-26_20-12-29,427.0
408,results/models/policy_gradient__2020-11-26_21-48-06,458.0
409,results/models/policy_gradient__2020-11-26_23-21-52,488.0
410,results/models/policy_gradient__2020-11-25_19-35-58,203.0
411,results/models/policy_gradient__2020-11-25_21-26-39,233.0
412,results/models/policy_gradient__2020-11-25_23-26-54,266.0
413,results/models/policy_gradient__2020-11-26_01-05-27,296.0
414,results/models/policy_gradient__2020-11-26_12-14-07,328.0
415,results/models/policy_gradient__2020-11-26_14-22-30,361.0
416,results/models/policy_gradient__2020-11-26_17-45-58,395.0
417,results/models/policy_gradient__2020-11-26_20-03-25,424.0
418,results/models/policy_gradient__2020-11-26_21-51-06,459.0
419,results/models/policy_gradient__2020-11-26_23-28-56,490.0
420,results/models/policy_gradient__2020-11-25_19-35-58,203.0
421,results/models/policy_gradient__2020-11-25_21-26-39,233.0
422,results/models/policy_gradient__2020-11-25_23-26-54,266.0
423,results/models/policy_gradient__2020-11-26_01-05-27,296.0
424,results/models/policy_gradient__2020-11-26_12-14-07,328.0
425,results/models/policy_gradient__2020-11-26_14-22-30,361.0
426,results/models/policy_gradient__2020-11-26_17-45-58,395.0
427,results/models/policy_gradient__2020-11-26_20-03-25,424.0
428,results/models/policy_gradient__2020-11-26_21-51-06,459.0
429,results/models/policy_gradient__2020-11-26_23-28-56,490.0
430,results/models/policy_gradient__2020-11-25_19-25-24,200.0
431,results/models/policy_gradient__2020-11-25_21-22-46,232.0
432,results/models/policy_gradient__2020-11-25_23-19-21,264.0
433,results/models/policy_gradient__2020-11-26_01-14-26,299.0
434,results/models/policy_gradient__2020-11-26_12-18-09,329.0
435,results/models/policy_gradient__2020-11-26_14-19-15,360.0
436,results/models/policy_gradient__2020-11-26_17-31-02,392.0
437,results/models/policy_gradient__2020-11-26_20-06-27,425.0
438,results/models/policy_gradient__2020-11-26_21-42-03,456.0
439,results/models/policy_gradient__2020-11-26_23-32-37,491.0
440,results/models/policy_gradient__2020-11-25_19-29-05,201.0
441,results/models/policy_gradient__2020-11-25_21-29-44,234.0
442,results/models/policy_gradient__2020-11-25_23-23-37,265.0
443,results/models/policy_gradient__2020-11-26_01-11-36,298.0
444,results/models/policy_gradient__2020-11-26_12-22-41,330.0
445,results/models/policy_gradient__2020-11-26_14-25-34,362.0
446,results/models/policy_gradient__2020-11-26_17-35-50,393.0
447,results/models/policy_gradient__2020-11-26_20-12-29,427.0
448,results/models/policy_gradient__2020-11-26_21-48-06,458.0
449,results/models/policy_gradient__2020-11-26_23-21-52,488.0
450,results/models/policy_gradient__2020-11-25_19-29-05,201.0
451,results/models/policy_gradient__2020-11-25_21-22-46,232.0
452,results/models/policy_gradient__2020-11-25_23-30-07,267.0
453,results/models/policy_gradient__2020-11-26_01-08-34,297.0
454,results/models/policy_gradient__2020-11-26_12-28-49,331.0
455,results/models/policy_gradient__2020-11-26_14-28-45,363.0
456,results/models/policy_gradient__2020-11-26_17-31-02,392.0
457,results/models/policy_gradient__2020-11-26_20-06-27,425.0
458,results/models/policy_gradient__2020-11-26_21-42-03,456.0
459,results/models/policy_gradient__2020-11-26_23-21-52,488.0
460,results/models/policy_gradient__2020-11-25_19-29-05,201.0
461,results/models/policy_gradient__2020-11-25_21-22-46,232.0
462,results/models/policy_gradient__2020-11-25_23-23-37,265.0
463,results/models/policy_gradient__2020-11-26_01-11-36,298.0
464,results/models/policy_gradient__2020-11-26_12-22-41,330.0
465,results/models/policy_gradient__2020-11-26_14-25-34,362.0
