,model_path,seed
83,results/models/policy_gradient__2020-11-24_19-23-26,196.0
84,results/models/policy_gradient__2020-11-24_22-03-03,228.0
85,results/models/policy_gradient__2020-11-24_23-04-40,260.0
86,results/models/policy_gradient__2020-11-25_00-04-12,292.0
87,results/models/policy_gradient__2020-11-25_01-02-03,324.0
88,results/models/policy_gradient__2020-11-25_02-03-23,356.0
89,results/models/policy_gradient__2020-11-25_03-05-34,388.0
90,results/models/policy_gradient__2020-11-24_12-58-20,100.0
91,results/models/policy_gradient__2020-11-24_14-15-52,132.0
92,results/models/policy_gradient__2020-11-24_16-00-28,164.0
93,results/models/policy_gradient__2020-11-24_19-23-26,196.0
94,results/models/policy_gradient__2020-11-24_22-03-03,228.0
95,results/models/policy_gradient__2020-11-24_23-04-40,260.0
96,results/models/policy_gradient__2020-11-25_00-04-12,292.0
97,results/models/policy_gradient__2020-11-25_01-02-03,324.0
98,results/models/policy_gradient__2020-11-25_02-03-23,356.0
99,results/models/policy_gradient__2020-11-25_03-05-34,388.0
100,results/models/policy_gradient__2020-11-24_12-58-20,100.0
101,results/models/policy_gradient__2020-11-24_14-15-52,132.0
102,results/models/policy_gradient__2020-11-24_16-00-28,164.0
103,results/models/policy_gradient__2020-11-24_19-23-26,196.0
104,results/models/policy_gradient__2020-11-24_22-03-03,228.0
105,results/models/policy_gradient__2020-11-24_23-04-40,260.0
106,results/models/policy_gradient__2020-11-25_00-04-12,292.0
107,results/models/policy_gradient__2020-11-25_01-02-03,324.0
108,results/models/policy_gradient__2020-11-25_02-03-23,356.0
109,results/models/policy_gradient__2020-11-25_03-05-34,388.0
110,results/models/policy_gradient__2020-11-24_12-58-20,100.0
111,results/models/policy_gradient__2020-11-24_14-15-52,132.0
112,results/models/policy_gradient__2020-11-24_16-00-28,164.0
113,results/models/policy_gradient__2020-11-24_19-23-26,196.0
114,results/models/policy_gradient__2020-11-24_22-03-03,228.0
115,results/models/policy_gradient__2020-11-24_23-04-40,260.0
116,results/models/policy_gradient__2020-11-25_00-04-12,292.0
117,results/models/policy_gradient__2020-11-25_01-02-03,324.0
118,results/models/policy_gradient__2020-11-25_02-03-23,356.0
119,results/models/policy_gradient__2020-11-25_03-05-34,388.0
120,results/models/policy_gradient__2020-11-24_12-58-20,100.0
121,results/models/policy_gradient__2020-11-24_14-15-52,132.0
122,results/models/policy_gradient__2020-11-24_16-00-28,164.0
123,results/models/policy_gradient__2020-11-24_19-23-26,196.0
124,results/models/policy_gradient__2020-11-24_22-03-03,228.0
125,results/models/policy_gradient__2020-11-24_23-04-40,260.0
126,results/models/policy_gradient__2020-11-25_00-04-12,292.0
127,results/models/policy_gradient__2020-11-25_01-02-03,324.0
128,results/models/policy_gradient__2020-11-25_02-03-23,356.0
129,results/models/policy_gradient__2020-11-25_03-05-34,388.0
130,results/models/policy_gradient__2020-11-24_12-58-20,100.0
131,results/models/policy_gradient__2020-11-24_14-15-52,132.0
132,results/models/policy_gradient__2020-11-24_16-00-28,164.0
133,results/models/policy_gradient__2020-11-24_19-23-26,196.0
134,results/models/policy_gradient__2020-11-24_22-03-03,228.0
135,results/models/policy_gradient__2020-11-24_23-04-40,260.0
136,results/models/policy_gradient__2020-11-25_00-04-12,292.0
137,results/models/policy_gradient__2020-11-25_01-02-03,324.0
138,results/models/policy_gradient__2020-11-25_02-03-23,356.0
139,results/models/policy_gradient__2020-11-25_03-05-34,388.0
140,results/models/policy_gradient__2020-11-24_12-58-20,100.0
141,results/models/policy_gradient__2020-11-24_14-15-52,132.0
142,results/models/policy_gradient__2020-11-24_16-00-28,164.0
143,results/models/policy_gradient__2020-11-24_19-23-26,196.0
144,results/models/policy_gradient__2020-11-24_22-03-03,228.0
145,results/models/policy_gradient__2020-11-24_23-04-40,260.0
146,results/models/policy_gradient__2020-11-25_00-04-12,292.0
147,results/models/policy_gradient__2020-11-25_01-02-03,324.0
148,results/models/policy_gradient__2020-11-25_02-03-23,356.0
149,results/models/policy_gradient__2020-11-25_03-05-34,388.0
150,results/models/policy_gradient__2020-11-24_12-58-20,100.0
151,results/models/policy_gradient__2020-11-24_14-15-52,132.0
152,results/models/policy_gradient__2020-11-24_16-00-28,164.0
153,results/models/policy_gradient__2020-11-24_19-23-26,196.0
154,results/models/policy_gradient__2020-11-24_22-03-03,228.0
155,results/models/policy_gradient__2020-11-24_23-04-40,260.0
156,results/models/policy_gradient__2020-11-25_00-04-12,292.0
157,results/models/policy_gradient__2020-11-25_01-02-03,324.0
158,results/models/policy_gradient__2020-11-25_02-03-23,356.0
159,results/models/policy_gradient__2020-11-25_03-05-34,388.0
160,results/models/policy_gradient__2020-11-24_12-58-20,100.0
161,results/models/policy_gradient__2020-11-24_14-15-52,132.0
162,results/models/policy_gradient__2020-11-24_16-00-28,164.0
163,results/models/policy_gradient__2020-11-24_19-23-26,196.0
164,results/models/policy_gradient__2020-11-24_22-03-03,228.0
165,results/models/policy_gradient__2020-11-24_23-04-40,260.0
166,results/models/policy_gradient__2020-11-25_00-04-12,292.0
167,results/models/policy_gradient__2020-11-25_01-02-03,324.0
168,results/models/policy_gradient__2020-11-25_02-03-23,356.0
169,results/models/policy_gradient__2020-11-25_03-05-34,388.0
170,results/models/policy_gradient__2020-11-24_12-58-20,100.0
171,results/models/policy_gradient__2020-11-24_14-15-52,132.0
172,results/models/policy_gradient__2020-11-24_16-00-28,164.0
173,results/models/policy_gradient__2020-11-24_19-23-26,196.0
174,results/models/policy_gradient__2020-11-24_22-03-03,228.0
175,results/models/policy_gradient__2020-11-24_23-04-40,260.0
176,results/models/policy_gradient__2020-11-25_00-04-12,292.0
177,results/models/policy_gradient__2020-11-25_01-02-03,324.0
178,results/models/policy_gradient__2020-11-25_02-03-23,356.0
179,results/models/policy_gradient__2020-11-25_03-05-34,388.0
180,results/models/policy_gradient__2020-11-24_12-58-20,100.0
181,results/models/policy_gradient__2020-11-24_14-15-52,132.0
182,results/models/policy_gradient__2020-11-24_16-00-28,164.0
183,results/models/policy_gradient__2020-11-24_19-23-26,196.0
184,results/models/policy_gradient__2020-11-24_22-03-03,228.0
185,results/models/policy_gradient__2020-11-24_23-04-40,260.0
186,results/models/policy_gradient__2020-11-25_00-04-12,292.0
187,results/models/policy_gradient__2020-11-25_01-02-03,324.0
188,results/models/policy_gradient__2020-11-25_02-03-23,356.0
189,results/models/policy_gradient__2020-11-25_03-05-34,388.0
190,results/models/policy_gradient__2020-11-24_12-58-20,100.0
191,results/models/policy_gradient__2020-11-24_14-15-52,132.0
192,results/models/policy_gradient__2020-11-24_16-00-28,164.0
193,results/models/policy_gradient__2020-11-24_19-23-26,196.0
194,results/models/policy_gradient__2020-11-24_22-03-03,228.0
195,results/models/policy_gradient__2020-11-24_23-04-40,260.0
196,results/models/policy_gradient__2020-11-25_00-04-12,292.0
197,results/models/policy_gradient__2020-11-25_01-02-03,324.0
198,results/models/policy_gradient__2020-11-25_02-03-23,356.0
199,results/models/policy_gradient__2020-11-25_03-05-34,388.0
200,results/models/policy_gradient__2020-11-24_12-58-20,100.0
201,results/models/policy_gradient__2020-11-24_14-15-52,132.0
202,results/models/policy_gradient__2020-11-24_16-00-28,164.0
203,results/models/policy_gradient__2020-11-24_19-23-42,197.0
204,results/models/policy_gradient__2020-11-24_22-03-12,229.0
205,results/models/policy_gradient__2020-11-24_23-04-51,261.0
206,results/models/policy_gradient__2020-11-25_00-04-20,293.0
207,results/models/policy_gradient__2020-11-25_01-02-12,325.0
208,results/models/policy_gradient__2020-11-25_02-03-23,356.0
209,results/models/policy_gradient__2020-11-25_03-05-34,388.0
210,results/models/policy_gradient__2020-11-24_12-58-20,100.0
211,results/models/policy_gradient__2020-11-24_14-16-00,133.0
212,results/models/policy_gradient__2020-11-24_16-00-38,165.0
213,results/models/policy_gradient__2020-11-24_19-23-26,196.0
214,results/models/policy_gradient__2020-11-24_22-03-03,228.0
215,results/models/policy_gradient__2020-11-24_23-04-40,260.0
216,results/models/policy_gradient__2020-11-25_00-04-20,293.0
217,results/models/policy_gradient__2020-11-25_01-02-03,324.0
218,results/models/policy_gradient__2020-11-25_02-03-32,357.0
219,results/models/policy_gradient__2020-11-25_03-05-44,389.0
220,results/models/policy_gradient__2020-11-24_12-58-20,100.0
221,results/models/policy_gradient__2020-11-24_14-15-52,132.0
222,results/models/policy_gradient__2020-11-24_16-00-28,164.0
223,results/models/policy_gradient__2020-11-24_19-23-26,196.0
224,results/models/policy_gradient__2020-11-24_22-03-12,229.0
225,results/models/policy_gradient__2020-11-24_23-04-51,261.0
226,results/models/policy_gradient__2020-11-25_00-04-12,292.0
227,results/models/policy_gradient__2020-11-25_01-02-12,325.0
228,results/models/policy_gradient__2020-11-25_02-03-32,357.0
229,results/models/policy_gradient__2020-11-25_03-05-34,388.0
230,results/models/policy_gradient__2020-11-24_12-58-20,100.0
231,results/models/policy_gradient__2020-11-24_14-15-52,132.0
232,results/models/policy_gradient__2020-11-24_16-00-28,164.0
233,results/models/policy_gradient__2020-11-24_19-23-26,196.0
234,results/models/policy_gradient__2020-11-24_22-03-12,229.0
235,results/models/policy_gradient__2020-11-24_23-04-51,261.0
236,results/models/policy_gradient__2020-11-25_00-04-20,293.0
237,results/models/policy_gradient__2020-11-25_01-02-12,325.0
238,results/models/policy_gradient__2020-11-25_02-03-32,357.0
239,results/models/policy_gradient__2020-11-25_03-05-34,388.0
240,results/models/policy_gradient__2020-11-24_12-58-32,101.0
241,results/models/policy_gradient__2020-11-24_14-15-52,132.0
242,results/models/policy_gradient__2020-11-24_16-00-28,164.0
243,results/models/policy_gradient__2020-11-24_19-23-42,197.0
244,results/models/policy_gradient__2020-11-24_22-03-12,229.0
245,results/models/policy_gradient__2020-11-24_23-04-51,261.0
246,results/models/policy_gradient__2020-11-25_00-04-12,292.0
247,results/models/policy_gradient__2020-11-25_01-02-12,325.0
248,results/models/policy_gradient__2020-11-25_02-03-23,356.0
249,results/models/policy_gradient__2020-11-25_03-05-34,388.0
250,results/models/policy_gradient__2020-11-24_12-58-32,101.0
251,results/models/policy_gradient__2020-11-24_14-15-52,132.0
252,results/models/policy_gradient__2020-11-24_16-00-38,165.0
253,results/models/policy_gradient__2020-11-24_19-23-42,197.0
254,results/models/policy_gradient__2020-11-24_22-03-03,228.0
255,results/models/policy_gradient__2020-11-24_23-04-40,260.0
256,results/models/policy_gradient__2020-11-25_00-04-20,293.0
257,results/models/policy_gradient__2020-11-25_01-02-03,324.0
258,results/models/policy_gradient__2020-11-25_02-03-23,356.0
259,results/models/policy_gradient__2020-11-25_03-05-44,389.0
260,results/models/policy_gradient__2020-11-24_12-58-32,101.0
261,results/models/policy_gradient__2020-11-24_14-16-00,133.0
262,results/models/policy_gradient__2020-11-24_16-00-28,164.0
263,results/models/policy_gradient__2020-11-24_19-23-26,196.0
264,results/models/policy_gradient__2020-11-24_22-03-12,229.0
265,results/models/policy_gradient__2020-11-24_23-04-51,261.0
266,results/models/policy_gradient__2020-11-25_00-04-12,292.0
267,results/models/policy_gradient__2020-11-25_01-02-12,325.0
268,results/models/policy_gradient__2020-11-25_02-03-32,357.0
269,results/models/policy_gradient__2020-11-25_03-05-34,388.0
270,results/models/policy_gradient__2020-11-24_12-58-32,101.0
271,results/models/policy_gradient__2020-11-24_14-16-00,133.0
272,results/models/policy_gradient__2020-11-24_16-00-38,165.0
273,results/models/policy_gradient__2020-11-24_19-23-26,196.0
274,results/models/policy_gradient__2020-11-24_22-03-03,228.0
275,results/models/policy_gradient__2020-11-24_23-04-40,260.0
276,results/models/policy_gradient__2020-11-25_00-04-12,292.0
277,results/models/policy_gradient__2020-11-25_01-02-03,324.0
278,results/models/policy_gradient__2020-11-25_02-03-32,357.0
279,results/models/policy_gradient__2020-11-25_03-05-44,389.0
280,results/models/policy_gradient__2020-11-24_12-58-32,101.0
281,results/models/policy_gradient__2020-11-24_14-16-00,133.0
282,results/models/policy_gradient__2020-11-24_16-00-38,165.0
283,results/models/policy_gradient__2020-11-24_19-23-42,197.0
284,results/models/policy_gradient__2020-11-24_22-03-03,228.0
285,results/models/policy_gradient__2020-11-24_23-04-40,260.0
286,results/models/policy_gradient__2020-11-25_00-04-20,293.0
287,results/models/policy_gradient__2020-11-25_01-02-03,324.0
288,results/models/policy_gradient__2020-11-25_02-03-23,356.0
289,results/models/policy_gradient__2020-11-25_03-05-44,389.0
290,results/models/policy_gradient__2020-11-24_12-58-20,100.0
291,results/models/policy_gradient__2020-11-24_14-15-52,132.0
292,results/models/policy_gradient__2020-11-24_16-00-28,164.0
293,results/models/policy_gradient__2020-11-24_19-23-42,197.0
294,results/models/policy_gradient__2020-11-24_22-03-12,229.0
295,results/models/policy_gradient__2020-11-24_23-04-51,261.0
296,results/models/policy_gradient__2020-11-25_00-04-12,292.0
297,results/models/policy_gradient__2020-11-25_01-02-12,325.0
298,results/models/policy_gradient__2020-11-25_02-03-23,356.0
299,results/models/policy_gradient__2020-11-25_03-05-34,388.0
300,results/models/policy_gradient__2020-11-24_12-58-20,100.0
301,results/models/policy_gradient__2020-11-24_14-16-00,133.0
302,results/models/policy_gradient__2020-11-24_16-00-38,165.0
303,results/models/policy_gradient__2020-11-24_19-23-26,196.0
304,results/models/policy_gradient__2020-11-24_22-03-03,228.0
305,results/models/policy_gradient__2020-11-24_23-04-40,260.0
306,results/models/policy_gradient__2020-11-25_00-04-20,293.0
307,results/models/policy_gradient__2020-11-25_01-02-03,324.0
308,results/models/policy_gradient__2020-11-25_02-03-32,357.0
309,results/models/policy_gradient__2020-11-25_03-05-44,389.0
310,results/models/policy_gradient__2020-11-24_12-58-20,100.0
311,results/models/policy_gradient__2020-11-24_14-16-00,133.0
312,results/models/policy_gradient__2020-11-24_16-00-38,165.0
313,results/models/policy_gradient__2020-11-24_19-23-26,196.0
314,results/models/policy_gradient__2020-11-24_22-03-03,228.0
315,results/models/policy_gradient__2020-11-24_23-04-40,260.0
316,results/models/policy_gradient__2020-11-25_00-04-20,293.0
317,results/models/policy_gradient__2020-11-25_01-02-03,324.0
318,results/models/policy_gradient__2020-11-25_02-03-32,357.0
319,results/models/policy_gradient__2020-11-25_03-05-44,389.0
320,results/models/policy_gradient__2020-11-24_12-58-32,101.0
321,results/models/policy_gradient__2020-11-24_14-15-52,132.0
322,results/models/policy_gradient__2020-11-24_16-00-28,164.0
323,results/models/policy_gradient__2020-11-24_19-23-42,197.0
324,results/models/policy_gradient__2020-11-24_22-03-12,229.0
325,results/models/policy_gradient__2020-11-24_23-04-51,261.0
326,results/models/policy_gradient__2020-11-25_00-04-12,292.0
327,results/models/policy_gradient__2020-11-25_01-02-12,325.0
328,results/models/policy_gradient__2020-11-25_02-03-23,356.0
329,results/models/policy_gradient__2020-11-25_03-05-34,388.0
330,results/models/policy_gradient__2020-11-24_12-58-20,100.0
331,results/models/policy_gradient__2020-11-24_14-16-00,133.0
332,results/models/policy_gradient__2020-11-24_16-00-38,165.0
333,results/models/policy_gradient__2020-11-24_19-23-42,197.0
334,results/models/policy_gradient__2020-11-24_22-03-03,228.0
335,results/models/policy_gradient__2020-11-24_23-04-40,260.0
336,results/models/policy_gradient__2020-11-25_00-04-20,293.0
337,results/models/policy_gradient__2020-11-25_01-02-03,324.0
338,results/models/policy_gradient__2020-11-25_02-03-32,357.0
339,results/models/policy_gradient__2020-11-25_03-05-44,389.0
340,results/models/policy_gradient__2020-11-24_12-58-32,101.0
341,results/models/policy_gradient__2020-11-24_14-16-00,133.0
342,results/models/policy_gradient__2020-11-24_16-00-28,164.0
343,results/models/policy_gradient__2020-11-24_19-23-42,197.0
344,results/models/policy_gradient__2020-11-24_22-03-12,229.0
345,results/models/policy_gradient__2020-11-24_23-04-51,261.0
346,results/models/policy_gradient__2020-11-25_00-04-12,292.0
347,results/models/policy_gradient__2020-11-25_01-02-12,325.0
348,results/models/policy_gradient__2020-11-25_02-03-32,357.0
349,results/models/policy_gradient__2020-11-25_03-05-34,388.0
350,results/models/policy_gradient__2020-11-24_12-58-32,101.0
351,results/models/policy_gradient__2020-11-24_14-15-52,132.0
352,results/models/policy_gradient__2020-11-24_16-00-28,164.0
353,results/models/policy_gradient__2020-11-24_19-23-42,197.0
354,results/models/policy_gradient__2020-11-24_22-03-12,229.0
355,results/models/policy_gradient__2020-11-24_23-04-51,261.0
356,results/models/policy_gradient__2020-11-25_00-04-12,292.0
357,results/models/policy_gradient__2020-11-25_01-02-12,325.0
358,results/models/policy_gradient__2020-11-25_02-03-23,356.0
359,results/models/policy_gradient__2020-11-25_03-05-34,388.0
360,results/models/policy_gradient__2020-11-24_12-58-20,100.0
361,results/models/policy_gradient__2020-11-24_14-16-00,133.0
362,results/models/policy_gradient__2020-11-24_16-00-38,165.0
363,results/models/policy_gradient__2020-11-24_19-23-26,196.0
364,results/models/policy_gradient__2020-11-24_22-03-03,228.0
365,results/models/policy_gradient__2020-11-24_23-04-40,260.0
366,results/models/policy_gradient__2020-11-25_00-04-20,293.0
367,results/models/policy_gradient__2020-11-25_01-02-03,324.0
368,results/models/policy_gradient__2020-11-25_02-03-32,357.0
369,results/models/policy_gradient__2020-11-25_03-05-44,389.0
370,results/models/policy_gradient__2020-11-24_12-58-32,101.0
371,results/models/policy_gradient__2020-11-24_14-16-00,133.0
372,results/models/policy_gradient__2020-11-24_16-00-28,164.0
373,results/models/policy_gradient__2020-11-24_19-23-26,196.0
374,results/models/policy_gradient__2020-11-24_22-03-12,229.0
375,results/models/policy_gradient__2020-11-24_23-04-51,261.0
376,results/models/policy_gradient__2020-11-25_00-04-12,292.0
377,results/models/policy_gradient__2020-11-25_01-02-12,325.0
378,results/models/policy_gradient__2020-11-25_02-03-32,357.0
379,results/models/policy_gradient__2020-11-25_03-05-34,388.0
380,results/models/policy_gradient__2020-11-24_12-58-20,100.0
381,results/models/policy_gradient__2020-11-24_14-15-52,132.0
382,results/models/policy_gradient__2020-11-24_16-00-28,164.0
383,results/models/policy_gradient__2020-11-24_19-23-26,196.0
384,results/models/policy_gradient__2020-11-24_22-03-12,229.0
385,results/models/policy_gradient__2020-11-24_23-04-51,261.0
386,results/models/policy_gradient__2020-11-25_00-04-12,292.0
387,results/models/policy_gradient__2020-11-25_01-02-12,325.0
388,results/models/policy_gradient__2020-11-25_02-03-32,357.0
389,results/models/policy_gradient__2020-11-25_03-05-34,388.0
390,results/models/policy_gradient__2020-11-24_12-58-20,100.0
391,results/models/policy_gradient__2020-11-24_14-15-52,132.0
392,results/models/policy_gradient__2020-11-24_16-00-38,165.0
393,results/models/policy_gradient__2020-11-24_19-23-26,196.0
394,results/models/policy_gradient__2020-11-24_22-03-03,228.0
395,results/models/policy_gradient__2020-11-24_23-04-40,260.0
396,results/models/policy_gradient__2020-11-25_00-04-20,293.0
397,results/models/policy_gradient__2020-11-25_01-02-03,324.0
398,results/models/policy_gradient__2020-11-25_02-03-32,357.0
399,results/models/policy_gradient__2020-11-25_03-05-44,389.0
400,results/models/policy_gradient__2020-11-24_13-03-33,103.0
401,results/models/policy_gradient__2020-11-24_14-21-15,135.0
402,results/models/policy_gradient__2020-11-24_16-07-53,166.0
403,results/models/policy_gradient__2020-11-24_19-30-43,198.0
404,results/models/policy_gradient__2020-11-24_22-08-13,231.0
405,results/models/policy_gradient__2020-11-24_23-08-42,263.0
406,results/models/policy_gradient__2020-11-25_00-08-20,295.0
407,results/models/policy_gradient__2020-11-25_01-05-52,326.0
408,results/models/policy_gradient__2020-11-25_02-03-23,356.0
409,results/models/policy_gradient__2020-11-25_03-05-34,388.0
410,results/models/policy_gradient__2020-11-24_12-58-20,100.0
411,results/models/policy_gradient__2020-11-24_14-21-05,134.0
412,results/models/policy_gradient__2020-11-24_16-08-03,167.0
413,results/models/policy_gradient__2020-11-24_19-23-26,196.0
414,results/models/policy_gradient__2020-11-24_22-03-03,228.0
415,results/models/policy_gradient__2020-11-24_23-04-40,260.0
416,results/models/policy_gradient__2020-11-25_00-04-20,293.0
417,results/models/policy_gradient__2020-11-25_01-02-03,324.0
418,results/models/policy_gradient__2020-11-25_02-07-52,359.0
419,results/models/policy_gradient__2020-11-25_03-10-14,391.0
420,results/models/policy_gradient__2020-11-24_13-03-33,103.0
421,results/models/policy_gradient__2020-11-24_14-21-15,135.0
422,results/models/policy_gradient__2020-11-24_16-00-28,164.0
423,results/models/policy_gradient__2020-11-24_19-30-43,198.0
424,results/models/policy_gradient__2020-11-24_22-08-13,231.0
425,results/models/policy_gradient__2020-11-24_23-08-42,263.0
426,results/models/policy_gradient__2020-11-25_00-08-20,295.0
427,results/models/policy_gradient__2020-11-25_01-02-12,325.0
428,results/models/policy_gradient__2020-11-25_02-07-43,358.0
429,results/models/policy_gradient__2020-11-25_03-05-34,388.0
430,results/models/policy_gradient__2020-11-24_13-03-33,103.0
431,results/models/policy_gradient__2020-11-24_14-21-15,135.0
432,results/models/policy_gradient__2020-11-24_16-00-28,164.0
433,results/models/policy_gradient__2020-11-24_19-30-43,198.0
434,results/models/policy_gradient__2020-11-24_22-08-13,231.0
435,results/models/policy_gradient__2020-11-24_23-08-42,263.0
436,results/models/policy_gradient__2020-11-25_00-08-20,295.0
437,results/models/policy_gradient__2020-11-25_01-02-12,325.0
438,results/models/policy_gradient__2020-11-25_02-07-43,358.0
439,results/models/policy_gradient__2020-11-25_03-05-34,388.0
440,results/models/policy_gradient__2020-11-24_13-03-22,102.0
441,results/models/policy_gradient__2020-11-24_14-21-15,135.0
442,results/models/policy_gradient__2020-11-24_16-00-28,164.0
443,results/models/policy_gradient__2020-11-24_19-30-53,199.0
444,results/models/policy_gradient__2020-11-24_22-08-13,231.0
445,results/models/policy_gradient__2020-11-24_23-08-42,263.0
446,results/models/policy_gradient__2020-11-25_00-08-20,295.0
447,results/models/policy_gradient__2020-11-25_01-02-12,325.0
448,results/models/policy_gradient__2020-11-25_02-07-43,358.0
449,results/models/policy_gradient__2020-11-25_03-05-34,388.0
450,results/models/policy_gradient__2020-11-24_12-58-32,101.0
451,results/models/policy_gradient__2020-11-24_14-21-05,134.0
452,results/models/policy_gradient__2020-11-24_16-00-38,165.0
453,results/models/policy_gradient__2020-11-24_19-23-42,197.0
454,results/models/policy_gradient__2020-11-24_22-03-03,228.0
455,results/models/policy_gradient__2020-11-24_23-04-40,260.0
456,results/models/policy_gradient__2020-11-25_00-08-12,294.0
457,results/models/policy_gradient__2020-11-25_01-02-03,324.0
458,results/models/policy_gradient__2020-11-25_02-03-23,356.0
459,results/models/policy_gradient__2020-11-25_03-05-44,389.0
460,results/models/policy_gradient__2020-11-24_13-03-33,103.0
461,results/models/policy_gradient__2020-11-24_14-16-00,133.0
462,results/models/policy_gradient__2020-11-24_16-07-53,166.0
463,results/models/policy_gradient__2020-11-24_19-30-43,198.0
464,results/models/policy_gradient__2020-11-24_22-08-04,230.0
465,results/models/policy_gradient__2020-11-24_23-08-35,262.0
